Node1, Node2
J-1, J-17
J-17, J-2
J-2, J-3
J-3, J-4
J-4, J-5
J-5, J-6
J-6, J-7
J-7, J-24
J-24, J-8
J-8, J-28
J-28, J-9
J-9, J-36
J-36, J-1
J-1, J-31
J-31, J-10
J-10, J-11
J-11, J-19
J-19, J-12
J-12, J-4
J-2, J-18
J-18, J-10
J-10, J-32
J-32, J-27
J-27, J-16
J-16, J-25
J-25, J-8
J-3, J-11
J-11, J-26
J-26, J-15
J-15, J-22
J-22, J-7
J-5, J-13
J-13, J-14
J-14, J-20
J-20, J-15
J-15, J-16
J-16, J-29
J-29, J-30
J-30, J-9
J-17, J-18
J-12, J-13
J-19, J-20
J-14, J-21
J-21, J-6
J-21, J-22
J-22, J-23
J-24, J-23
J-23, J-25
J-26, J-27
J-28, J-29
J-29, J-33
J-32, J-33
J-33, J-34
J-31, J-34
J-34, J-35
J-30, J-35
J-35, J-36
T-1, J-1
