Node, X, Y
J-1, 7111.65, 7532.36
J-2, 5679.61, 9538.83
J-3, 4862.46, 9538.83
J-4, 2750.81, 9474.11
J-5, 1852.75, 8357.61
J-6, 1974.11, 6076.05
J-7, 1974.11, 5149.68
J-8, 4235.44, 5076.86
J-9, 6411.81, 5093.04
J-10, 5412.62, 7888.35
J-11, 4510.52, 8264.56
J-12, 3033.98, 9243.53
J-13, 2301.78, 8078.48
J-14, 2944.98, 7669.90
J-15, 3786.41, 7139.97
J-16, 4830.10, 6480.58
J-17, 7099.51, 8438.51
J-18, 5505.66, 8450.65
J-19, 3563.92, 8839.00
J-20, 3167.48, 7532.36
J-21, 2730.58, 7285.60
J-22, 3511.33, 6666.67
J-23, 4097.90, 6286.41
J-24, 3337.38, 5121.36
J-25, 4530.74, 6011.33
J-26, 4215.21, 7783.17
J-27, 5194.17, 7055.02
J-28, 5218.45, 5089.00
J-29, 5622.98, 5999.19
J-30, 5950.65, 5796.93
J-31, 6614.08, 7621.36
J-32, 5380.26, 7544.50
J-33, 6318.77, 7281.55
J-34, 6549.35, 7212.78
J-35, 6585.76, 6092.23
J-36, 7152.10, 6104.37
T-1, 7669.90, 7783.17
