Node,X,Y
J-1,4389474.53,3834988.0
J-2,4389026.72,3834207.0
J-3,4389734.41,3835428.0
J-4,4389551.27,3835089.0
J-5,4390452.76,3836810.0
J-6,4390216.69,3836358.0
J-7,4390178.73,3836259.0
J-8,4389536.81,3835097.0
J-9,4390226.09,3836347.0
J-10,4389018.49,3834213.0
J-11,4388886.06,3834021.0
J-12,4392317.5,3839171.0
J-13,4392147.54,3838846.0
J-14,4392355.02,3839264.0
J-15,4392316.23,3839168.0
J-16,4392021.88,3838610.0
J-17,4392531.38,3840222.0
J-18,4392451.05,3840245.0
J-19,4392776.2,3840097.0
J-20,4392756.08,3840059.0
J-21,4392748.94,3840046.0
J-22,4392566.26,3839705.0
J-23,4392349.71,3838124.0
J-24,4391942.49,3838362.0
J-25,4392637.62,3840176.0
J-26,4392360.83,3839292.0
J-27,4391901.0,3838385.0
J-28,4392363.44,3839305.0
J-29,4390403.31,3834502.0
J-30,4390607.91,3834885.0
J-31,4390255.73,3834233.0
J-32,4390394.82,3834487.0
J-35,4390082.98,3830007.0
J-36,4390088.56,3830002.0
J-37,4388724.71,3832133.0
J-38,4388943.42,3832409.0
J-39,4390216.3,3834161.0
J-40,4389809.48,3830234.0
J-41,4389804.19,3830238.0
J-42,4389591.59,3830407.0
J-43,4389944.49,3836929.0
J-44,4390042.29,3837022.0
J-46,4388960.33,3832431.0
J-47,4388974.2,3832448.0
J-48,4389573.87,3830422.0
J-49,4390089.84,3830001.0
J-52,4390945.47,3836559.0
J-53,4391388.97,3836334.0
J-54,4390611.99,3834892.0
J-55,4390647.74,3834959.0
J-56,4391607.16,3836745.0
J-57,4391869.13,3837233.0
J-58,4391931.69,3837348.0
J-59,4391939.97,3837364.0
J-62,4391125.91,3835845.0
J-63,4391128.45,3835850.0
J-64,4390154.2,3834047.0
J-65,4390166.86,3834071.0
J-66,4390921.32,3836572.0
J-67,4389690.83,3833329.0
J-68,4389704.66,3833348.0
J-69,4391377.13,3836312.0
J-70,4389948.85,3833676.0
J-71,4389775.6,3830194.0
J-72,4389783.31,3830203.0
J-74,4390753.05,3835152.0
J-75,4391109.1,3835812.0
J-76,4391382.47,3836322.0
J-77,4391957.27,3837395.0
J-78,4392092.64,3837646.0
J-79,4388581.93,3831230.0
J-80,4388299.2,3831464.0
J-81,4388229.43,3831511.0
J-82,4388645.45,3832034.0
J-83,4389210.75,3830724.0
J-84,4388910.0,3830967.0
J-87,4389814.93,3830229.0
J-88,4389537.68,3833477.0
J-89,4389368.75,3832929.0
J-90,4390195.27,3834123.0
J-95,4392341.08,3840293.0
J-97,4390657.76,3834977.0
J-98,4389718.3,3833365.0
J-100,4388865.86,3834009.0
J-101,4388877.15,3834000.0
J-102,4392110.43,3837679.0
J-103,4392156.41,3840587.0
J-104,4392158.53,3840597.0
J-106,4390435.0,3836815.0
J-107,4390447.72,3836801.0
J-108,4390466.67,3836799.0
J-109,4389283.66,3833671.0
J-110,4388881.97,3833997.0
J-111,4389298.45,3833661.0
J-112,4392138.56,3840505.0
J-113,4390072.6,3837006.0
J-114,4390536.49,3836762.0
J-115,4392160.72,3840557.0
J-116,4392151.32,3840559.0
J-117,4388401.93,3831717.0
J-136,4389906.12,3836886.0
J-137,4391942.74,3840586.0
J-138,4391836.43,3840659.0
J-203,4392310.51,3840445.0
J-204,4392630.41,3840160.0
J-215,4392632.63,3840165.0
J-217,4389958.62,3836898.0
J-218,4389947.69,3836905.0
J-219,4389740.9,3833288.0
J-220,4390049.94,3833037.0
J-225,4390187.75,3835201.0
J-226,4390188.71,3835203.0
J-229,4391550.08,3835575.0
J-230,4391918.38,3835375.0
J-235,4388071.63,3831315.0
J-236,4391434.07,3831927.0
J-237,4391435.98,3831925.0
J-238,4389769.02,3836526.0
J-239,4389766.94,3836534.0
J-241,4387618.47,3830752.0
J-242,4387776.9,3830950.0
J-243,4390378.76,3832769.0
J-245,4392968.65,3840349.0
J-246,4392964.15,3840348.0
J-247,4390678.52,3836115.0
J-248,4390893.54,3836517.0
J-249,4391068.55,3834655.0
J-250,4391048.12,3834665.0
J-252,4386940.78,3831637.0
J-253,4386942.16,3831638.0
J-256,4388887.87,3834006.0
J-257,4388893.87,3834015.0
J-260,4387863.44,3832760.0
J-261,4387903.31,3832809.0
J-262,4392269.3,3834014.0
J-263,4392264.78,3834012.0
J-265,4390396.02,3835605.0
J-270,4391932.42,3835367.0
J-275,4386658.88,3831282.0
J-276,4386665.3,3831290.0
J-278,4389298.59,3833691.0
J-279,4389482.04,3833965.0
J-282,4391402.36,3837479.0
J-283,4391623.56,3837899.0
J-284,4389772.7,3836545.0
J-285,4389878.22,3836745.0
J-286,4390183.67,3836297.0
J-287,4390180.03,3836299.0
J-288,4392752.7,3840044.0
J-289,4392795.04,3840030.0
J-290,4392773.82,3840038.0
J-300,4391644.64,3837939.0
J-301,4391864.68,3838334.0
J-302,4393110.74,3840633.0
J-303,4393263.42,3840926.0
J-304,4391401.26,3837477.0
J-305,4390056.17,3834963.0
J-308,4390942.61,3837712.0
J-309,4390948.2,3837723.0
J-314,4387338.76,3832121.0
J-315,4387472.71,3832284.0
J-322,4389834.27,3834554.0
J-323,4389836.55,3834558.0
J-324,4390636.75,3836050.0
J-327,4391127.92,3836961.0
J-328,4391134.47,3836974.0
J-329,4392774.62,3840039.0
J-330,4389935.96,3834745.0
J-331,4389993.74,3834850.0
J-332,4387238.98,3832000.0
J-333,4391157.97,3837017.0
J-334,4391164.32,3837030.0
J-336,4389282.13,3830050.0
J-337,4392116.61,3833589.0
J-338,4392510.23,3833381.0
J-339,4392784.6,3840094.0
J-340,4391118.92,3831526.0
J-341,4391143.5,3831557.0
J-344,4393264.99,3840929.0
J-347,4391072.19,3832215.0
J-348,4391451.84,3834447.0
J-349,4391422.04,3834463.0
J-350,4392969.77,3840351.0
J-353,4392813.84,3834902.0
J-354,4387935.07,3831147.0
J-355,4393107.89,3834750.0
J-356,4393208.32,3834704.0
J-358,4390894.17,3836518.0
J-359,4390909.87,3836549.0
J-369,4389692.72,3834292.0
J-378,4391149.33,3831564.0
J-380,4389788.35,3830198.0
J-385,4387670.68,3831644.0
J-392,4391138.36,3836981.0
J-398,4391040.82,3834669.0
J-399,4391437.83,3838637.0
J-400,4391658.68,3839044.0
J-403,4387492.51,3830593.0
J-408,4392788.61,3840067.0
J-409,4392794.72,3840089.0
J-410,4389782.05,3834454.0
J-415,4392063.07,3833616.0
J-420,4387917.42,3832826.0
J-427,4387547.96,3832376.0
J-432,4388175.63,3833144.0
J-433,4391862.09,3838406.0
J-437,4391638.36,3837927.0
J-442,4392527.21,3833372.0
J-443,4386696.45,3831331.0
J-447,4392782.71,3840055.0
J-455,4392803.58,3840027.0
J-456,4387556.05,3832386.0
J-457,4389771.66,3834434.0
J-458,4389777.55,3834445.0
J-460,4389736.84,3833292.0
J-461,4389286.65,3833675.0
J-464,4389724.22,3835432.0
J-465,4389728.16,3835439.0
J-468,4390677.12,3836113.0
J-470,4389768.85,3836538.0
J-472,4390862.39,3830936.0
J-473,4391066.82,3832219.0
J-474,4389935.84,3836855.0
J-475,4391147.48,3831562.0
J-478,4388546.88,3833581.0
J-479,4390041.96,3834937.0
J-481,4393547.4,3841470.0
J-486,4392174.18,3840655.0
J-489,4388821.73,3833923.0
J-490,4388887.91,3833992.0
J-491,4392228.34,3840473.0
J-492,4392135.53,3840491.0
J-503,4392141.97,3840490.0
J-509,4391596.8,3840636.0
J-511,4388845.13,3833952.0
J-522,4392332.22,3840953.0
J-523,4390432.22,3836734.0
J-524,4392058.22,3833618.0
J-527,4390741.2,3832478.0
J-530,4391847.33,3834242.0
J-531,4390731.08,3831034.0
J-555,4393799.27,3834403.0
J-556,4393844.33,3834378.0
J-558,4393223.59,3834696.0
J-559,4393234.55,3834690.0
J-562,4393681.65,3834461.0
J-605,4387266.99,3830310.0
J-609,4393879.65,3834359.0
J-612,4387052.76,3830050.0
J-613,4393476.04,3834565.0
J-658,4393859.41,3835281.0
J-659,4393849.38,3835263.0
J-660,4392760.39,3840057.0
J-661,4392777.86,3840058.0
J-674,4391918.59,3832369.0
J-675,4392214.39,3832176.0
J-695,4392553.95,3839711.0
J-719,4393287.77,3837902.0
J-720,4393599.5,3838483.0
J-721,4392278.6,3836061.0
J-722,4393065.66,3835634.0
J-726,4392332.49,3834115.0
J-727,4392283.94,3834024.0
J-732,4393748.94,3838832.0
J-733,4393758.13,3838850.0
J-754,4392050.99,3835713.0
J-755,4391983.64,3835587.0
J-773,4388631.39,3834157.0
J-774,4388547.91,3834072.0
J-777,4394475.74,3834044.0
J-778,4394546.35,3834007.0
J-787,4392588.44,3836600.0
J-788,4392435.36,3836326.0
J-791,4391762.28,3832471.0
J-792,4391829.95,3832426.0
J-830,4393628.11,3841871.0
J-831,4393635.15,3841836.0
J-839,4393657.51,3839557.0
J-840,4393354.62,3839729.0
J-852,4392375.14,3839300.0
J-861,4389327.67,3831479.0
J-862,4389645.24,3831227.0
J-881,4390751.49,3833145.0
J-882,4391096.9,3832916.0
J-885,4392785.11,3840072.0
J-916,4393626.47,3841907.0
J-919,4392424.63,3839781.0
J-933,4392872.06,3839473.0
J-934,4393077.43,3839375.0
J-969,4394323.73,3839742.0
J-970,4394253.37,3839658.0
J-988,4389729.61,3835450.0
J-989,4389739.19,3835445.0
J-1000,4394458.46,3839913.0
J-1001,4394451.68,3839899.0
J-1004,4393342.08,3839737.0
J-1005,4393640.68,3839974.0
J-1006,4393975.79,3839262.0
J-1026,4389957.15,3833670.0
J-1027,4393736.96,3838808.0
J-1044,4393621.37,3838567.0
J-1053,4394409.42,3834079.0
J-1054,4394411.19,3834078.0
J-1060,4392405.43,3839286.0
J-1061,4392426.56,3839277.0
J-1071,4392614.86,3836650.0
J-1072,4392645.34,3836714.0
J-1092,4393090.28,3840643.0
J-1102,4393727.42,3835067.0
J-1103,4393740.83,3835060.0
J-1107,4392326.66,3834118.0
J-1177,4390530.91,3830526.0
J-1179,4392238.5,3836054.0
J-1180,4392069.58,3835754.0
J-1182,4387948.92,3831116.0
J-1183,4388300.45,3830838.0
J-1187,4392945.43,3833773.0
