Node,Consumption
J-1,2.0
J-2,0.8
J-3,0.6
J-4,0.4
J-5,1.4
J-6,0.2
J-7,0.4
J-8,0.8
J-9,0.0
J-10,0.1
J-11,0.7
J-12,0.5
J-13,0.4
J-14,0.1
J-15,0.1
J-16,0.6
J-17,0.7
J-18,0.2
J-19,0.3
J-20,0.0
J-21,0.2
J-22,0.5
J-23,1.3
J-24,0.3
J-25,0.2
J-26,0.0
J-27,0.1
J-28,0.3
J-29,0.5
J-30,2.0
J-31,0.3
J-32,0.2
J-35,6.1
J-36,1.2
J-37,1.6
J-38,0.3
J-39,0.1
J-40,0.0
J-41,0.3
J-42,2.4
J-43,0.1
J-44,0.2
J-46,0.1
J-47,0.5
J-48,0.9
J-49,0.0
J-52,0.8
J-53,0.7
J-54,0.7
J-55,1.6
J-56,3.9
J-57,3.1
J-58,0.1
J-59,0.0
J-62,1.3
J-63,0.6
J-64,0.3
J-65,0.0
J-66,0.8
J-67,0.5
J-68,0.2
J-69,2.3
J-70,1.6
J-71,0.1
J-72,0.1
J-74,2.4
J-75,1.1
J-76,0.1
J-77,0.2
J-78,3.8
J-79,3.1
J-80,0.5
J-81,0.8
J-82,0.6
J-83,3.4
J-84,4.8
J-87,0.3
J-88,0.6
J-89,3.1
J-90,0.0
J-95,0.3
J-97,0.1
J-98,0.3
J-100,0.0
J-101,0.0
J-102,3.2
J-103,0.5
J-104,0.7
J-106,0.3
J-107,0.0
J-108,0.2
J-109,0.4
J-110,1.3
J-111,0.2
J-112,0.2
J-113,0.3
J-114,0.4
J-115,0.2
J-116,0.0
J-117,0.2
J-136,3.5
J-137,3.9
J-138,0.1
J-203,0.5
J-204,0.3
J-215,0.0
J-217,0.1
J-218,0.0
J-219,0.5
J-220,5.8
J-225,1.8
J-226,2.0
J-229,1.1
J-230,0.6
J-235,1.2
J-236,1.2
J-237,2.4
J-238,0.6
J-239,0.0
J-241,2.1
J-242,1.9
J-243,2.5
J-245,0.0
J-246,4.3
J-247,1.9
J-248,4.4
J-249,0.5
J-250,1.7
J-252,2.8
J-253,2.0
J-256,0.0
J-257,0.4
J-260,4.4
J-261,0.1
J-262,0.7
J-263,2.1
J-265,1.1
J-270,1.3
J-275,1.6
