Node,X,Y
J-1,1650094.63,4944639.0
J-2,1650348.88,4944585.0
J-3,1650592.63,4945068.0
J-4,1650829.5,4945554.0
J-5,1651029.88,4945905.5
J-6,1651232.38,4946354.5
J-7,1651227.63,4946378.0
J-8,1650986.0,4946490.5
J-9,1650757.0,4946024.5
J-10,1650577.5,4945659.5
J-11,1650064.5,4945875.0
J-12,1649881.13,4945376.0
J-13,1650029.25,4945313.5
J-14,1649770.5,4945419.0
J-15,1649922.38,4944957.0
J-16,1650100.25,4944685.5
J-17,1650073.75,4944698.0
J-18,1649896.88,4946121.0
J-19,1650065.0,4946470.5
J-20,1649998.63,4946733.5
J-21,1650051.0,4946979.0
J-22,1650379.13,4946826.0
J-23,1650670.25,4946655.0
J-24,1651438.88,4946731.5
J-25,1651852.38,4946763.0
J-26,1652162.25,4946635.0
J-27,1652182.25,4946677.0
J-28,1651699.38,4946109.0
J-29,1652135.63,4945859.5
J-30,1652188.25,4945828.0
J-31,1652250.75,4945788.5
J-32,1652137.88,4946048.5
J-33,1652747.88,4946233.5
J-34,1653164.75,4946233.5
J-35,1653238.38,4946135.5
J-36,1652471.5,4947147.5
J-37,1652974.13,4946893.0
J-38,1653000.5,4947593.0
J-39,1652997.88,4947950.0
J-40,1653465.13,4947628.0
J-41,1653953.13,4947276.5
J-42,1653669.25,4946887.5
J-43,1653412.88,4946500.5
J-44,1653325.38,4946374.5
J-45,1653405.75,4946332.5
J-46,1653576.75,4946261.5
J-47,1653305.5,4946224.0
J-48,1653327.63,4946206.0
J-49,1654320.88,4947050.5
J-50,1653865.63,4946305.0
J-51,1654128.63,4946356.5
J-52,1654151.0,4946388.0
J-53,1651249.88,4944650.0
J-54,1651009.13,4945449.0
J-55,1651234.38,4945272.5
J-56,1651454.0,4945036.0
J-57,1651631.75,4944839.0
J-58,1651706.13,4944872.0
J-59,1652209.75,4945096.0
J-60,1651938.88,4944437.0
J-61,1652230.25,4944648.5
J-62,1652461.25,4944548.0
J-63,1651242.38,4944380.5
J-64,1651105.25,4944112.5
J-65,1651206.0,4944094.0
J-66,1651172.75,4943897.0
J-67,1651089.5,4943759.5
J-68,1651047.88,4943688.5
J-69,1650871.63,4943730.0
J-70,1650699.5,4943831.0
J-71,1650643.5,4943741.5
J-72,1650545.13,4943797.5
J-73,1650520.88,4943731.0
J-74,1650299.25,4943830.5
J-75,1650312.0,4943864.0
J-76,1650129.5,4944033.0
J-77,1650062.38,4944332.5
J-78,1651328.75,4943618.5
J-79,1652035.13,4943543.0
J-80,1652295.38,4943960.0
J-81,1652274.0,4943915.0
J-82,1652177.13,4943728.0
J-83,1652378.5,4944227.5
J-84,1652613.25,4944096.0
J-85,1652813.0,4944165.5
J-86,1652520.5,4944765.5
J-87,1652776.0,4944502.5
J-88,1652571.63,4944946.0
J-89,1653166.63,4944737.0
J-90,1653208.38,4944863.5
J-91,1653384.13,4945164.0
J-92,1653347.25,4944479.5
J-93,1653436.5,4944350.0
J-94,1652876.63,4943584.0
J-95,1652898.75,4943338.0
J-96,1652902.5,4943296.0
J-97,1653228.75,4943125.0
J-98,1653309.5,4943022.0
J-99,1653025.75,4943691.5
J-100,1652573.75,4945380.0
J-101,1652700.0,4945571.0
J-102,1653007.75,4945362.0
J-103,1653126.88,4945561.5
J-104,1653249.5,4945739.0
J-105,1653037.88,4945841.5
J-106,1653240.25,4945242.5
J-107,1653586.0,4945851.5
J-108,1653657.0,4945938.0
J-109,1653793.75,4945830.5
J-110,1653877.13,4945776.0
J-111,1654144.25,4945621.5
J-112,1653650.88,4945006.0
J-113,1653850.25,4944888.5
J-114,1653644.13,4944567.0
J-115,1654038.25,4945213.0
J-116,1654814.75,4946886.5
J-117,1655054.13,4946778.5
J-118,1654981.88,4946686.5
J-119,1654952.13,4946733.5
J-120,1654764.13,4946651.5
J-121,1655205.88,4946327.0
J-122,1654560.5,4945469.5
J-123,1654911.5,4945305.0
J-124,1655494.63,4944952.5
J-125,1655475.63,4944804.5
J-126,1654567.88,4944497.0
J-127,1654739.5,4944761.0
J-128,1655066.0,4944789.0
J-129,1655412.5,4944625.0
J-130,1655182.0,4944156.0
