Node,Consumption
J-1,0.06
J-2,1.45
J-3,5.13
J-4,2.76
J-5,0.96
J-6,0.78
J-7,1.03
J-8,2.12
J-9,1.16
J-10,1.78
J-11,0.44
J-12,0.03
J-13,0.57
J-14,0.36
J-15,3.3
J-16,0.03
J-17,2.1
J-18,4.67
J-19,0.0
J-20,1.53
J-21,4.61
J-22,1.06
J-23,1.32
J-24,2.74
J-25,0.59
J-26,0.45
J-27,0.64
J-28,7.11
J-29,0.93
J-30,0.04
J-31,0.02
J-32,2.93
J-33,2.34
J-34,1.94
J-35,1.19
J-36,1.41
J-37,2.98
J-38,2.11
J-39,7.74
J-40,4.29
J-41,7.78
J-42,3.75
J-43,2.37
J-44,1.42
J-45,0.32
J-46,1.14
J-47,1.23
J-48,1.37
J-49,1.18
J-50,1.81
J-51,0.97
J-52,0.55
J-53,2.77
J-54,0.65
J-55,1.38
J-56,8.28
J-57,1.22
J-58,3.85
J-59,2.62
J-60,2.78
J-61,1.56
J-62,1.16
J-63,1.22
J-64,2.93
J-65,1.13
J-66,1.12
J-67,0.48
J-68,1.37
J-69,2.26
J-70,1.31
J-71,1.06
J-72,0.38
J-73,1.76
J-74,0.56
J-75,0.0
J-76,4.64
J-77,1.03
J-78,3.08
J-79,1.6
J-80,4.49
J-81,1.25
J-82,0.87
J-83,0.72
J-84,0.49
J-85,3.92
J-86,0.94
J-87,3.33
J-88,4.17
J-89,1.44
J-90,1.84
J-91,2.0
J-92,2.24
J-93,0.2
J-94,2.27
J-95,1.44
J-96,2.67
J-97,0.6
J-98,2.76
J-99,0.05
J-100,2.06
J-101,3.19
J-102,4.69
J-103,1.7
J-104,0.02
J-105,0.1
J-106,1.11
J-107,1.02
J-108,0.88
J-109,2.33
J-110,0.31
J-111,0.45
J-112,2.96
J-113,8.12
J-114,1.76
J-115,5.96
J-116,0.0
J-117,6.34
J-118,0.0
J-119,0.0
J-120,3.03
J-121,1.85
J-122,1.77
J-123,1.48
J-124,0.0
J-125,1.32
J-126,2.24
J-127,1.26
J-128,5.39
J-129,1.0
J-130,1.61
J-131,4.71
J-132,2.64
J-133,2.11
J-134,1.51
J-135,0.84
J-136,1.05
J-137,1.16
J-138,2.45
J-139,1.66
J-140,0.0
J-141,0.0
J-142,0.0
J-143,0.8
J-144,0.33
J-145,0.34
J-146,1.02
J-147,1.23
J-148,0.09
J-149,0.43
J-150,1.56
J-151,0.8
J-152,1.38
J-153,0.53
J-154,0.59
J-155,2.33
J-156,0.03
J-157,0.31
J-158,8.49
J-159,0.32
J-160,0.21
J-161,0.02
J-162,1.23
J-163,0.99
J-164,0.55
J-165,0.78
J-166,0.27
J-167,0.27
J-168,0.07
J-169,9.47
J-170,2.64
J-171,1.02
J-172,0.88
J-173,0.49
J-174,0.0
J-175,1.12
J-176,0.0
J-177,0.0
J-178,0.01
J-179,0.0
J-180,0.0
J-181,0.0
J-182,0.01
J-183,1.84
J-184,0.04
J-185,1.68
J-186,2.37
J-187,0.09
J-188,1.23
J-189,3.9
J-190,1.17
J-191,1.7
J-192,2.15
J-193,4.0
J-194,4.46
J-195,0.05
J-196,0.01
J-197,4.12
J-198,0.39
J-199,0.15
J-200,1.82
J-201,3.43
J-202,0.62
J-203,4.17
J-204,2.26
J-205,1.01
J-206,0.54
J-207,0.77
J-208,0.33
J-209,1.15
J-210,1.53
J-211,0.0
J-212,0.3
J-213,0.32
J-214,0.56
J-215,0.0
J-216,0.19
J-217,1.42
J-218,0.59
J-219,1.48
J-220,0.92
J-221,0.33
J-222,0.06
J-223,0.46
J-224,0.72
J-225,0.0
J-226,0.0
J-227,0.2
J-228,0.08
J-229,1.3
J-230,1.07
J-231,1.03
J-232,0.03
J-233,1.15
J-234,1.43
J-235,4.86
J-236,4.71
J-237,1.34
J-238,1.87
J-239,0.82
J-240,0.94
J-241,0.09
J-242,1.28
J-243,0.43
J-244,0.51
J-245,0.0
J-246,0.01
J-247,0.01
J-248,0.0
J-249,1.75
J-250,1.03
J-251,1.26
J-252,1.36
J-253,0.14
J-254,0.0
J-255,1.96
J-256,2.21
J-257,0.62
J-258,0.0
J-259,0.5
J-260,0.11
J-261,0.12
J-262,0.22
J-263,1.28
J-264,0.19
J-265,0.22
J-266,1.19
J-267,1.69
J-268,0.43
T-269,0.0
T-270,0.0
T-271,0.0
T-272,0.0
