Node, X, Y
J-1, 656582.88, 963296.25
J-2, 657289.06, 963069.50
J-3, 656852.19, 963283.19
J-4, 657294.63, 963262.25
J-5, 657933.44, 963588.94
J-6, 661346.75, 960658.38
J-7, 661252.19, 960607.19
J-8, 661547.63, 960688.13
J-9, 660262.19, 961842.69
J-10, 659947.69, 961952.63
J-11, 659120.75, 962107.19
J-12, 661689.69, 962215.25
J-13, 661623.88, 962717.69
J-14, 662482.81, 962917.75
J-17, 662131.88, 963005.56
J-18, 661006.88, 962760.81
J-19, 660673.44, 962792.06
J-20, 661012.00, 963102.44
J-21, 661221.06, 963474.69
J-22, 661856.94, 963711.13
J-23, 661860.75, 963473.88
J-24, 662326.00, 962957.19
J-25, 662031.81, 962086.69
J-26, 662135.06, 963007.19
J-27, 661853.69, 963051.00
J-28, 661141.50, 961352.25
J-29, 661319.63, 961368.81
J-30, 660878.69, 961712.13
J-31, 660390.13, 962876.63
J-32, 660381.19, 963121.00
J-33, 660557.31, 961781.06
J-34, 660596.63, 962340.81
J-35, 661308.00, 961400.00
J-36, 660857.63, 962345.56
J-37, 660500.44, 962822.94
J-38, 660618.31, 962796.50
J-39, 660651.25, 962646.69
J-40, 660461.31, 962359.19
J-41, 660533.31, 962348.81
J-42, 659046.31, 962535.19
J-44, 659015.00, 962761.75
J-45, 660704.56, 963432.50
J-46, 660447.38, 963119.13
J-47, 659504.06, 963179.19
J-48, 659732.88, 963154.94
J-49, 660377.06, 963121.75
J-50, 660375.88, 963276.44
J-51, 659734.19, 963310.88
J-52, 660371.38, 963483.06
J-53, 659739.94, 963467.50
J-54, 659230.13, 963333.94
J-55, 659229.19, 963481.63
J-56, 659457.44, 963155.31
J-57, 659097.25, 963096.19
J-58, 658198.44, 963134.44
J-59, 658026.94, 963233.88
J-60, 658114.75, 963350.06
J-61, 658119.75, 963536.75
J-62, 658025.81, 963147.50
J-76, 662523.13, 960626.31
J-79, 662528.25, 962839.88
J-80, 662636.56, 960486.38
J-81, 658738.69, 962404.75
J-82, 662454.00, 963567.13
J-83, 662458.63, 963565.25
J-84, 659408.69, 963212.44
J-85, 662548.06, 963787.94
J-86, 659408.69, 963642.06
J-87, 658728.69, 962454.75
J-88, 659408.69, 963325.81
J-89, 659408.69, 963476.63
T-43, 658738.69, 962454.75
T-65, 662568.19, 960492.44
T-15, 662492.56, 962874.81
