Node, Consumption
J-1, 10.01
J-2, 12.43
J-3, 8.50
J-4, 8.50
J-5, 12.12
J-6, 1.63
J-7, 0.00
J-8, 33.60
J-9, 4.38
J-10, 16.40
J-11, 29.77
J-12, 0.49
J-13, 7.49
J-14, 6.06
J-17, 2.77
J-18, 5.03
J-19, 4.81
J-20, 21.04
J-21, 16.94
J-22, 10.41
J-23, 2.17
J-24, 6.55
J-25, 10.41
J-26, 2.78
J-27, 5.32
J-28, 3.63
J-29, 33.00
J-30, 6.00
J-31, 6.40
J-32, 2.96
J-33, 3.09
J-34, 3.09
J-35, 8.79
J-36, 1.68
J-37, 12.64
J-38, 12.64
J-39, 12.64
J-40, 5.56
J-41, 2.60
J-42, 4.57
J-44, 7.56
J-45, 6.21
J-46, 3.09
J-47, 0.59
J-48, 12.63
J-49, 3.41
J-50, 13.21
J-51, 3.87
J-52, 6.43
J-53, 2.55
J-54, 0.00
J-55, 11.30
J-56, 3.99
J-57, 7.75
J-58, 1.91
J-59, 0.88
J-60, 5.14
J-61, 5.14
J-62, 7.44
J-76, 0.00
J-82, 0.01
J-83, 0.00
J-84, 0.54
J-85, 0.37
J-86, 6.46
J-87, 25.00
J-88, 2.15
J-89, 1.75
