Node, X, Y
J-1, 514.650, 282.740
J-2, 512.500, 323.720
J-3, 474.740, 321.840
J-4, 476.620, 290.780
J-5, 482.780, 269.840
J-6, 491.780, 215.400
J-7, 519.370, 215.850
J-8, 491.340, 184.970
J-9, 491.160, 153.310
J-10, 519.590, 152.310
J-11, 467.790, 112.470
J-12, 503.420, 89.260
J-13, 158.610, 336.940
J-14, 445.560, 82.490
J-15, 469.940, 61.740
J-16, 496.300, -18.850
J-17, 480.230, 6.240
J-18, 447.890, 42.800
J-19, 427.300, 66.410
J-20, 402.440, 95.450
J-21, 430.510, 134.960
J-22, 432.320, 160.660
J-23, 435.020, 189.510
J-24, 436.560, 217.310
J-25, 437.610, 261.360
J-26, 437.100, 291.230
J-27, 436.470, 321.130
J-28, 431.620, 374.680
J-29, 368.000, 394.460
J-30, 363.490, 364.600
J-31, 363.460, 319.230
J-32, 403.560, 320.450
J-33, 402.560, 291.220
J-34, 435.630, 342.950
J-35, 401.370, 261.200
J-36, 400.580, 230.380
J-37, 398.490, 194.730
J-38, 391.680, 160.360
J-39, 369.540, 119.250
J-40, 329.430, 137.270
J-41, 352.540, 182.690
J-42, 360.470, 207.970
J-43, 361.490, 233.320
J-44, 363.410, 261.990
J-45, 363.310, 291.320
J-46, 332.110, 317.580
J-47, 331.270, 292.150
J-48, 330.470, 262.360
J-49, 324.930, 237.040
J-50, 318.950, 202.910
J-51, 294.900, 157.570
J-52, 263.870, 175.790
J-53, 375.190, 432.280
J-54, 285.020, 221.140
J-55, 288.230, 241.720
J-56, 292.290, 263.860
J-57, 291.570, 292.630
J-58, 290.220, 316.730
J-59, 290.060, 368.750
J-60, 329.130, 366.810
J-61, 343.520, 402.430
J-62, 403.480, 455.760
J-63, 346.870, 502.890
J-64, 295.890, 442.300
J-65, 231.800, 194.870
J-66, 252.540, 237.030
J-67, 259.770, 266.660
J-68, 261.600, 292.090
J-69, 262.360, 315.020
J-70, 199.850, 217.150
J-71, 216.570, 254.630
J-72, 221.610, 292.920
J-73, 222.320, 313.040
J-74, 242.590, 313.780
J-75, 354.560, 454.970
J-76, 249.720, 368.970
J-77, 250.020, 429.560
J-78, 203.540, 435.760
J-79, 196.240, 386.700
J-80, 187.690, 336.720
J-81, 189.930, 312.940
J-82, 185.410, 270.130
J-83, 173.690, 228.590
J-84, 144.510, 231.370
J-85, 436.980, 306.010
J-86, 147.620, 287.730
J-87, 146.890, 309.710
J-88, 114.430, 235.720
J-89, 437.410, 241.760
J-90, 108.140, 275.400
J-91, 99.130, 292.890
J-92, 58.810, 252.860
J-93, 34.110, 265.590
J-94, 322.450, 410.330
J-95, 47.030, 294.160
J-96, 11.480, 323.520
J-97, 59.450, 322.650
J-98, 82.540, 319.910
J-99, 15.470, 375.960
J-100, 88.540, 346.640
J-101, 27.190, 405.840
J-102, 56.020, 448.590
J-103, 127.620, 482.000
J-104, 105.550, 393.560
J-105, 115.690, 411.300
J-106, 380.740, 482.100
J-107, 281.160, 465.160
J-108, 289.690, 499.270
J-109, 328.150, 476.820
J-110, 270.870, 436.510
J-111, 361.400, 221.780
J-112, 234.910, 244.700
J-113, 124.220, 337.660
T-114, 262.690, 455.980
