Node, Consumption
J-1, 25.000
J-2, 34.050
J-3, 32.930
J-4, 30.520
J-5, 73.380
J-6, 55.950
J-7, 119.870
J-8, 28.250
J-9, 40.130
J-10, 32.860
J-11, 52.070
J-12, 33.280
J-13, 124.010
J-14, 27.670
J-15, 61.540
J-16, 18.450
J-17, 73.140
J-18, 39.220
J-19, 13.150
J-20, 25.560
J-21, 86.020
J-22, 58.900
J-23, 42.380
J-24, 65.640
J-25, 57.840
J-26, 39.740
J-27, 102.510
J-28, 24.800
J-29, 23.810
J-30, 37.180
J-31, 40.310
J-32, 35.140
J-33, 50.070
J-34, 55.190
J-35, 43.860
J-36, 75.770
J-37, 37.740
J-38, 69.010
J-39, 22.450
J-40, 31.730
J-41, 59.190
J-42, 46.830
J-43, 33.700
J-44, 22.530
J-45, 22.060
J-46, 24.510
J-47, 21.130
J-48, 20.270
J-49, 36.820
J-50, 56.300
J-51, 59.130
J-52, 35.860
J-53, 28.540
J-54, 44.650
J-55, 18.400
J-56, 53.240
J-57, 34.730
J-58, 58.810
J-59, 77.970
J-60, 61.950
J-61, 70.680
J-62, 21.560
J-63, 17.120
J-64, 31.010
J-65, 21.440
J-66, 49.630
J-67, 30.670
J-68, 25.580
J-69, 15.470
J-70, 17.180
J-71, 31.630
J-72, 30.900
J-73, 16.730
J-74, 30.890
J-75, 34.590
J-76, 96.220
J-77, 29.690
J-78, 38.230
J-79, 98.640
J-80, 68.230
J-81, 45.330
J-82, 87.610
J-83, 27.970
J-84, 50.040
J-85, 95.490
J-86, 94.660
J-87, 80.230
J-88, 85.170
J-89, 245.520
J-90, 63.240
J-91, 30.030
J-92, 23.500
J-93, 133.340
J-94, 34.760
J-95, 55.020
J-96, 35.960
J-97, 86.730
J-98, 47.110
J-99, 36.170
J-100, 72.680
J-101, 39.170
J-102, 40.040
J-103, 50.110
J-104, 92.700
J-105, 57.360
J-106, 17.170
J-107, 4.640
J-108, 18.260
J-109, 47.860
J-110, 0.000
J-111, 73.500
J-112, 46.510
J-113, 105.320
T-114, 0.000
